Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption
EAST 180TH STREET-MONTEREY AVENUE,BRONX,EAST 180TH STREET-MONTEREY AVENUE,,Not Applicable,,208,323,B020800,FEDERAL,NY005012270P,"S.J. Fuel Co., Inc.",2897188,11/1/12,10/23/12,11/21/12,29,395416137000007-OIL,N         ,$271.37 ,81
EAST 180TH STREET-MONTEREY AVENUE,BRONX,EAST 180TH STREET-MONTEREY AVENUE,,Not Applicable,,208,323,B020800,FEDERAL,NY005012270P,"S.J. Fuel Co., Inc.",2897189,12/1/12,11/21/12,12/24/12,33,395416137000007-OIL,N         ,"$17,849.07 ",5474
EAST RIVER,MANHATTAN,EAST RIVER,,Not Applicable,,9,207,M000900,FEDERAL,NY005010090P,"S.J. Fuel Co., Inc.",2896583,1/1/12,12/23/11,1/25/12,33,495416036150001-OIL,N         ,"$1,294.00 ",402
EAST RIVER,MANHATTAN,EAST RIVER,,Not Applicable,,9,207,M000900,FEDERAL,NY005010090P,"S.J. Fuel Co., Inc.",2896584,8/1/12,7/24/12,8/22/12,29,495416036150001-OIL,N         ,$805.30 ,241
EAST RIVER,MANHATTAN,EAST RIVER,,Not Applicable,,9,207,M000900,FEDERAL,NY005010090P,"S.J. Fuel Co., Inc.",2896585,12/1/12,11/21/12,12/24/12,33,495416036150001-OIL,N         ,$26.19 ,8
EASTCHESTER GARDENS,BRONX,EASTCHESTER GARDENS,,Not Applicable,,34,313,B003400,FEDERAL,NY005010340P,"S.J. Fuel Co., Inc.",2897082,12/1/12,11/21/12,12/24/12,33,395416160140019-OIL,N         ,"$13,264.53 ",4068
EDENWALD,BRONX,EDENWALD,,Not Applicable,,57,214,B005700,FEDERAL,NY005000570P,"S.J. Fuel Co., Inc.",2896983,4/1/12,3/26/12,4/24/12,29,395416185100006-OIL,N         ,$40.29 ,12
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242951,1/1/12,12/23/11,1/25/12,33,495416070202007-OIL-79.6%,N         ,"$167,286.37 ",51970.04
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242951,1/1/12,12/23/11,1/25/12,33,495416070202007-OIL-20.4%,N         ,"$42,872.39 ",13318.96
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242956,2/1/12,1/25/12,2/24/12,30,495416070202007-OIL-79.6%,N         ,"$168,623.17 ",50115.36
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,176,0,M017600,,,"S.J. Fuel Co., Inc.",4242956,2/1/12,1/25/12,2/24/12,30,495416070202007-OIL-20.4%,N         ,"$43,214.98 ",12843.64
ELLIOTT/CHELSEA ADDITION,MANHATTAN,ELLIOTT/CHELSEA ADDITION,,Not Applicable,,15,0,M001500,,,"S.J. Fuel Co., Inc.",4242960,3/1/12,2/24/12,3/26/12,31,495416070202007-OIL-79.6%,N         ,"$117,970.81 ",34166.71
